episode,title,type,note
107,The Battle Begins: Naruto vs. Sasuke,must-watch,Début combat final
108,Bitter Rivals and Broken Bonds,must-watch,Combat Naruto vs Sasuke
109,An Invitation from the Sound,must-watch,Sasuke part
110,Formation! The Sasuke Retrieval Squad!,must-watch,Équipe de récupération
111,Sound vs. Leaf,must-watch,Combat début
112,Squad Mutiny: Everything Falls Apart!,must-watch,Problèmes dans l'équipe
113,Full Throttle Power! Choji Ablaze!,must-watch,Choji vs Jirobo
114,Good-bye Old Friend...! I'll Always Believe in You!,must-watch,Choji utilise pilules
115,Your Opponent is Me!,must-watch,Kiba vs Sakon
116,Losing is Not an Option!,must-watch,Kiba combat
117,The Vessel Arrives Too Late,must-watch,Sasuke dans le vase
118,The Vessel Cracks,must-watch,Kimimaro apparaît
119,Miscalculation: A New Enemy Appears!,must-watch,Nouveau ennemi
120,Roar and Howl! The Ultimate Tag-Team!,must-watch,Gaara vs Kimimaro
121,To Each His Own Battle,must-watch,Combats multiples
122,Fakeout: Shikamaru's Comeback!,must-watch,Shikamaru stratège
123,The Leaf's Handsome Devil!,must-watch,Lee vs Kimimaro
124,The Beast Within,must-watch,Lee boit alcool
125,The Sand Shinobi: Allies of the Leaf,must-watch,Gaara sauve Lee
126,Showdown: Gaara vs. Kimimaro!,must-watch,Combat légendaire
127,Vengeful Strike! The Bracken Dance!,must-watch,Kimimaro technique finale
128,A Cry on Deaf Ears,must-watch,Naruto rattrape Sasuke
129,Brothers: Distance Among the Uchiha,must-watch,Flashback Sasuke
130,Father and Son: The Broken Crest,must-watch,Histoire Uchiha
131,The Secrets of the Mangekyo Sharingan!,must-watch,Secrets Sharingan
132,For a Friend...,must-watch,Naruto vs Sasuke début
133,A Plea from a Friend,must-watch,Naruto vs Sasuke
134,The End of Tears,must-watch,Combat final
135,The Promise That Could Not Be Kept,must-watch,Sasuke s'en va
136,Deep Cover?! A Super S-Ranked Mission!,skip,Filler arc Kaima
137,A Town of Outlaws: The Shadow of the Fuma Clan,skip,Filler arc Kaima
138,Ambition! The Eyes of the Mangekyo,skip,Filler arc Kaima
139,The Forest of Death is Always a Good Place to Start,skip,Filler arc Kaima
140,The Mind's Eye of a Transcendent Archer,skip,Filler arc Kaima
141,The Successor,skip,Filler arc Kaima
142,A Battle of Attrition,skip,Filler arc Kaima
143,The Sound of a Silent Flute,skip,Filler arc Kaima
144,The Sound of a Silent Flute Part 2,skip,Filler arc Kaima
145,Succeeding the Will of Fire,skip,Filler
146,The Unfinished Page,skip,Filler
147,The Formidable Enemy: The Mad Scientist,skip,Filler arc Menma
148,The Formidable Enemy: The Mad Scientist Part 2,skip,Filler arc Menma
149,What's the Difference? Don't All Insects Look Alike?,skip,Filler arc Menma
150,The Forbidden Punishment: The Cursed Mark,skip,Filler arc Menma
151,Beastie Prey,skip,Filler arc Menma
152,The Mark of the Curse,skip,Filler arc Menma
153,The Mark of the Curse Part 2,skip,Filler arc Menma
154,The Battle Begins: Naruto vs. Sasuke Revisited,skip,Filler clip show
155,The Battle Begins: Naruto vs. Sasuke Revisited Part 2,skip,Filler clip show
156,The Impossible Dream,skip,Filler arc Raiga
157,The Cursed Warrior,skip,Filler arc Raiga
158,The Cursed Warrior Part 2,skip,Filler arc Raiga
159,The Red and White Brothers,skip,Filler arc Raiga
160,The Red and White Brothers Part 2,skip,Filler arc Raiga
161,The Battle Begins: Naruto vs. Sasuke Revisited Part 3,skip,Filler clip show
162,The Byakugan vs. the Shadow Clone Technique!,skip,Filler clip show
163,The Byakugan vs. the Shadow Clone Technique! Part 2,skip,Filler clip show
164,The Demon Whisperer,skip,Filler arc Raiga
165,The Demon Whisperer Part 2,skip,Filler arc Raiga
166,The White Past: Hidden Ambition,skip,Filler clip show
167,The White Past: Hidden Ambition Part 2,skip,Filler clip show
168,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn!,skip,Filler arc curry
169,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn! Part 2,skip,Filler arc curry
170,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn! Part 3,skip,Filler arc curry
171,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn! Part 4,skip,Filler arc curry
172,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn! Part 5,skip,Filler arc curry
173,Battle at Sea: The Power Unleashed!,skip,Filler arc mer
174,Battle at Sea: The Power Unleashed! Part 2,skip,Filler arc mer
175,Battle at Sea: The Power Unleashed! Part 3,skip,Filler arc mer
176,Battle at Sea: The Power Unleashed! Part 4,skip,Filler arc mer
177,Please Mr. Postman!,skip,Filler arc postier
178,Please Mr. Postman! Part 2,skip,Filler arc postier
179,Please Mr. Postman! Part 3,skip,Filler arc postier
180,Please Mr. Postman! Part 4,skip,Filler arc postier
181,Please Mr. Postman! Part 5,skip,Filler arc postier
182,Please Mr. Postman! Part 6,skip,Filler arc postier
183,Please Mr. Postman! Part 7,skip,Filler arc postier
184,A Legend from the Hidden Leaf: The Onbaa!,skip,Filler arc Onbaa
185,A Legend from the Hidden Leaf: The Onbaa! Part 2,skip,Filler arc Onbaa
186,A Legend from the Hidden Leaf: The Onbaa! Part 3,skip,Filler arc Onbaa
187,Open for Business! The Leaf Moving Service,skip,Filler déménagement
188,Open for Business! The Leaf Moving Service Part 2,skip,Filler déménagement
189,Open for Business! The Leaf Moving Service Part 3,skip,Filler déménagement
190,The Mystery of the Targeted Merchants,skip,Filler arc marchands
191,The Mystery of the Targeted Merchants Part 2,skip,Filler arc marchands
192,The Mystery of the Targeted Merchants Part 3,skip,Filler arc marchands
193,The Mystery of the Targeted Merchants Part 4,skip,Filler arc marchands
194,The Mystery of the Targeted Merchants Part 5,skip,Filler arc marchands
195,The Mystery of the Targeted Merchants Part 6,skip,Filler arc marchands
196,The Mystery of the Targeted Merchants Part 7,skip,Filler arc marchands
197,The Mystery of the Targeted Merchants Part 8,skip,Filler arc marchands
198,The Mystery of the Targeted Merchants Part 9,skip,Filler arc marchands
199,The Mystery of the Targeted Merchants Part 10,skip,Filler arc marchands
200,The Mystery of the Targeted Merchants Part 11,skip,Filler arc marchands
201,The Mystery of the Targeted Merchants Part 12,skip,Filler arc marchands
202,The Mystery of the Targeted Merchants Part 13,skip,Filler arc marchands
203,The Mystery of the Targeted Merchants Part 14,skip,Filler arc marchands
204,The Mystery of the Targeted Merchants Part 15,skip,Filler arc marchands
205,Kurenai's Top Secret Mission: S-Rank!,skip,Filler arc Kurenai
206,Kurenai's Top Secret Mission: S-Rank! Part 2,skip,Filler arc Kurenai
207,Kurenai's Top Secret Mission: S-Rank! Part 3,skip,Filler arc Kurenai
208,Kurenai's Top Secret Mission: S-Rank! Part 4,skip,Filler arc Kurenai
209,Kurenai's Top Secret Mission: S-Rank! Part 5,skip,Filler arc Kurenai
210,Kurenai's Top Secret Mission: S-Rank! Part 6,skip,Filler arc Kurenai
211,Kurenai's Top Secret Mission: S-Rank! Part 7,skip,Filler arc Kurenai
212,Kurenai's Top Secret Mission: S-Rank! Part 8,skip,Filler arc Kurenai
213,Kurenai's Top Secret Mission: S-Rank! Part 9,skip,Filler arc Kurenai
214,Kurenai's Top Secret Mission: S-Rank! Part 10,skip,Filler arc Kurenai
215,A Past to Be Erased,skip,Filler arc Kurenai
216,A Past to Be Erased Part 2,skip,Filler arc Kurenai
217,The Lost Memory,skip,Filler arc mémoire
218,The Lost Memory Part 2,skip,Filler arc mémoire
219,The Lost Memory Part 3,skip,Filler arc mémoire
220,Departure,must-watch,Fin Naruto - Début Shippuden
