episode,title,type,note
1,The Red and White Brothers,skip,Filler arc Raiga
2,The Red and White Brothers Part 2,skip,Filler arc Raiga
3,The Battle Begins: Naruto vs. Sasuke Revisited Part 3,skip,Filler clip show
4,The Byakugan vs. the Shadow Clone Technique!,skip,Filler clip show
5,The Byakugan vs. the Shadow Clone Technique! Part 2,skip,Filler clip show
6,The Demon Whisperer,skip,Filler arc Raiga
7,The Demon Whisperer Part 2,skip,Filler arc Raiga
8,The White Past: Hidden Ambition,skip,Filler clip show
9,The White Past: Hidden Ambition Part 2,skip,Filler clip show
10,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn!,skip,Filler arc curry
11,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn! Part 2,skip,Filler arc curry
12,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn! Part 3,skip,Filler arc curry
13,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn! Part 4,skip,Filler arc curry
14,Mix It! Stretch It! Boil It Up! Burn Copper Pot! Burn! Part 5,skip,Filler arc curry
15,Battle at Sea: The Power Unleashed!,skip,Filler arc mer
16,Battle at Sea: The Power Unleashed! Part 2,skip,Filler arc mer
17,Battle at Sea: The Power Unleashed! Part 3,skip,Filler arc mer
18,Battle at Sea: The Power Unleashed! Part 4,skip,Filler arc mer
19,Please Mr. Postman!,skip,Filler arc postier
20,Please Mr. Postman! Part 2,skip,Filler arc postier
21,Please Mr. Postman! Part 3,skip,Filler arc postier
22,Please Mr. Postman! Part 4,skip,Filler arc postier
23,Please Mr. Postman! Part 5,skip,Filler arc postier
24,Please Mr. Postman! Part 6,skip,Filler arc postier
25,Please Mr. Postman! Part 7,skip,Filler arc postier
26,A Legend from the Hidden Leaf: The Onbaa!,skip,Filler arc Onbaa
27,A Legend from the Hidden Leaf: The Onbaa! Part 2,skip,Filler arc Onbaa
28,A Legend from the Hidden Leaf: The Onbaa! Part 3,skip,Filler arc Onbaa
29,Open for Business! The Leaf Moving Service,skip,Filler déménagement
30,Open for Business! The Leaf Moving Service Part 2,skip,Filler déménagement
31,Open for Business! The Leaf Moving Service Part 3,skip,Filler déménagement
32,The Mystery of the Targeted Merchants,skip,Filler arc marchands
33,The Mystery of the Targeted Merchants Part 2,skip,Filler arc marchands
34,The Mystery of the Targeted Merchants Part 3,skip,Filler arc marchands
35,The Mystery of the Targeted Merchants Part 4,skip,Filler arc marchands
36,The Mystery of the Targeted Merchants Part 5,skip,Filler arc marchands
37,The Mystery of the Targeted Merchants Part 6,skip,Filler arc marchands
38,The Mystery of the Targeted Merchants Part 7,skip,Filler arc marchands
39,The Mystery of the Targeted Merchants Part 8,skip,Filler arc marchands
40,The Mystery of the Targeted Merchants Part 9,skip,Filler arc marchands
41,The Mystery of the Targeted Merchants Part 10,skip,Filler arc marchands
42,The Mystery of the Targeted Merchants Part 11,skip,Filler arc marchands
43,The Mystery of the Targeted Merchants Part 12,skip,Filler arc marchands
44,The Mystery of the Targeted Merchants Part 13,skip,Filler arc marchands
45,The Mystery of the Targeted Merchants Part 14,skip,Filler arc marchands
46,The Mystery of the Targeted Merchants Part 15,skip,Filler arc marchands
47,Kurenai's Top Secret Mission: S-Rank!,skip,Filler arc Kurenai
48,Kurenai's Top Secret Mission: S-Rank! Part 2,skip,Filler arc Kurenai
49,Kurenai's Top Secret Mission: S-Rank! Part 3,skip,Filler arc Kurenai
50,Kurenai's Top Secret Mission: S-Rank! Part 4,skip,Filler arc Kurenai
51,Kurenai's Top Secret Mission: S-Rank! Part 5,skip,Filler arc Kurenai
52,Kurenai's Top Secret Mission: S-Rank! Part 6,skip,Filler arc Kurenai
53,Kurenai's Top Secret Mission: S-Rank! Part 7,skip,Filler arc Kurenai
54,Kurenai's Top Secret Mission: S-Rank! Part 8,skip,Filler arc Kurenai
55,Kurenai's Top Secret Mission: S-Rank! Part 9,skip,Filler arc Kurenai
56,Kurenai's Top Secret Mission: S-Rank! Part 10,skip,Filler arc Kurenai
57,A Past to Be Erased,skip,Filler arc Kurenai
58,A Past to Be Erased Part 2,skip,Filler arc Kurenai
59,The Lost Memory,skip,Filler arc mémoire
60,The Lost Memory Part 2,skip,Filler arc mémoire
61,The Lost Memory Part 3,skip,Filler arc mémoire
62,Departure,must-watch,Fin Naruto - Début Shippuden
