episode,title,type,note
1,Search and Rescue,must-watch,Sauvetage de Teyla et bébé
2,The Seed,important,Infection alien à Atlantis
3,Broken Ties,important,Ronon brainwashé par les Wraith
4,The Daedalus Variations,important,Daedalus d'univers parallèle
5,Ghost in the Machine,must-watch,Anciens prennent contrôle d'Atlantis
6,The Shrine,important,McKay perd la mémoire
7,Whispers,important,Monstres dans le brouillard
8,The Queen,important,Teyla se fait passer pour une Reine Wraith
9,Tracker,optional,Chasse à l'homme sur une planète
10,First Contact,must-watch,Découverte Janus et secret des Anciens
11,The Lost Tribe,must-watch,Suite First Contact - Bataille finale
12,Outsiders,important,Conflit avec les Genii
13,Inquisition,optional,Teyla jugée pour sorcellerie
14,The Prodigal,must-watch,Michaël attaque Atlantis
15,Remnants,important,Vestiges de technologie Ancient
16,Brain Storm,optional,Conférence scientifique sur Terre
17,Infection,important,Virus Wraith sur Atlantis
18,Identity,optional,Changement de corps entre Keller et personne
19,Vegas,important,Univers alternatif - Détective Sheppard
20,Enemy at the Gate,must-watch,Série finale - Dernière bataille
