episode,title,type,note
1,The Siege (Part 3),must-watch,Fin arc siège - Renforts arrivent
2,The Intruder,important,Virus dans le système
3,Runner,must-watch,Introduction de Ronon Dex
4,Duet,optional,Comédie - McKay partagé
5,Condemned,important,Planète prison
6,Trinity,must-work,Danger Ancient technology
7,Instinct,important,Rencontre avec une Wraith
8,Conversion,must-watch,Sheppard transformé
9,Aurora,important,Vaisseau Ancient abandonné
10,The Lost Boys,must-watch,Début arc Ford - Ford retrouvé
11,The Hive,must-watch,Suite arc Ford - Infiltration Wraith
12,Epiphany,optional,Dimension temps alternatif
13,Critical Mass,important,Bombe sur Atlantis
14,Grace Under Pressure,important,McKay coincé sous l'eau
15,The Tower,must-watch,Découverte d'une autre cité Ancient
16,The Long Goodbye,important,Esprits Anciens prennent contrôle
17,Coup D'etat,important,Coup d'État Genii
18, Michael,must-watch,Retour de Michael le Wraith
19,Inferno,must-watch,Planète volcan sur le point d'exploser
20,Allies,must-watch,Alliance dangereuse avec les Wraiths
