episode,title,type,note
79,Beyond the Limit of Darkness and Light,must-watch,Retour canon important
80,The Third Hokage Sealed!,must-watch,Troisième Hokage scellé
81,Return of the Morning Mist,must-watch,Retour au canon
82,Eye to Eye: Sharingan vs. Sharingan!,must-watch,Kakashi vs Itachi
83,Jiraiya: Naruto's Potential Disaster!,must-watch,Jiraiya entraîne Naruto
84,Roar Chidori! Brother vs. Brother!,must-watch,Sasuke vs Itachi
85,Hate Among the Uchihas: The Last of the Clan!,must-watch,Histoire Uchiha
86,A New Training Begins: I Will Be Strong!,must-watch,Nouvel entraînement
87,Keep on Training: Pop Goes the Water Balloon!,must-watch,Rasengan training
88,Focal Point: The Mark of the Leaf,must-watch,Suite entraînement
89,An Impossible Choice: The Pain Within Tsunade's Heart,must-watch,Histoire Tsunade
90,Unforgivable! A Total Lack of Respect!,must-watch,Orochimaru vs Jiraiya
91,Inheritance! The Necklace of Death!,must-watch,Collier de Tsunade
92,A Dubious Offer! Tsunade's Choice!,must-watch,Décision Tsunade
93,Breakdown! The Deal is Off!,must-watch,Combat début
94,Attack! Fury of the Rasengan!,must-watch,Rasengan complet
95,The Fifth Hokage! A Life on the Line!,must-watch,Tsunade devient Hokage
96,Deadlock! Sannin Showdown!,must-watch,Combat 3 Sannin
97,Kidnapped! Naruto's Hot Spring Adventure!,skip,Filler
98,Tsunade's Warning: Ninja No More!,skip,Filler
99,The Will of Fire Still Burns!,skip,Filler
100,Sensei and Student: The Bond of the Shinobi,must-watch,Départ Sasuke
101,Gotta See! Gotta Know! Kakashi-Sensei's True Face!,optional,Filler amusant
102,Mission: Help an Old Friend in the Land of Tea,skip,Filler arc Tea
103,The Race is On! Trouble on the High Seas!,skip,Filler arc Tea
104,Run Idate Run! Nagi Island Awaits!,skip,Filler arc Tea
105,A Fierce Battle of Rolling Thunder!,skip,Filler arc Tea
106,The Last Leg: A Final Act of Desperation,skip,Filler arc Tea
