episode,title,type,note
1,Rising (Part 1),must-watch,Pilote - Découverte d'Atlantis
2,Rising (Part 2),must-watch,Pilote - Premiers pas dans la cité
3,Hide and Seek,must-watch,Découverte des Anciens
4,Thirty-Eight Minutes,must-watch,Épisode tension - Porte bloquée
5,Suspicion,important,Introduction des Athosiens
6,Childhood's End,must-watch,Mystère sur une planète étrange
7,Poisoning the Well,important,Premier contact avec les Wraiths
8,Underground,must-watch,Alliance avec les Genii
9,Home,important,Retour sur Terre temporaire
10,The Storm,must-watch,Début arc tempête - Menace sur Atlantis
11,The Eye,must-watch,Suite tempête - Dernier combat
12,The Defiant One,important,Découverte d'un Ancient rebelle
13,Hot Zone,must-watch,Virus Ancient se répand
14,Sanctuary,optional,Protection d'une planète primitive
15,Before I Sleep,important,Flashbacks sur les Anciens
16,The Brotherhood,must-watch,Recherche d'un ZPM
17,Letters from Pegasus,important,Messages vers la Terre
18,The Gift,important,Teyla développe ses pouvoirs
19,The Siege (Part 1),must-watch,Début arc siège - Les Wraiths attaquent
20,The Siege (Part 2),must-watch,Suite siège - Bataille pour Atlantis
