episode,title,type,note
26,Special Report: Live from the Forest of Death!,must-watch,Début épreuve forêt
27,The Chunin Exam Stage 2: The Forest of Death,must-watch,Forêt de la mort
28,Eat or be Eaten: Panic in the Forest,must-watch,Orochimaru apparaît
29,Naruto's Counterattack: Never Give In!,must-watch,Naruto vs Orochimaru
30,The Sharingan Revived: Dragon-Flame Jutsu!,must-watch,Sasuke vs Orochimaru
31,Bushy Brow's Pledge: Undying Love and Protection!,must-watch,Lee protège Sakura
32,Sakura Blossoms!,must-watch,Sakura se bat
33,Battle Formation: Ino-Shika-Cho!,must-watch,Formation Ino-Shika-Cho
34,Akamaru Trembles: Gaara's Cruel Strength!,must-watch,Gaara cruel
35,The Scroll's Secret: No Peeking Allowed,must-watch,Secret du parchemin
36,Clone vs. Clone: Mine are Better than Yours!,optional,Filler
37,Surviving the Cut! The Rookie Nine Together Again!,must-watch,9 survivants
38,Narrowing the Field: Sudden Death Elimination!,must-watch,Elimination
39,Bushy Brow's Jealousy: Lions Barrage Unleashed!,optional,Filler
40,Kakashi and Orochimaru: Face-to-Face!,must-watch,Confrontation
41,Kunoichi Rumble: The Rivals Get Serious!,must-watch,Combat filles
42,The Ultimate Battle: Cha!,must-watch,Sakura vs Ino
43,Killer Kunoichi and a Shaky Shikamaru,must-watch,Temari vs Tenten
44,Akamaru Unleashed! Who's Top Dog Now?,optional,Filler
45,Surprise Attack! Naruto's Secret Weapon!,must-watch,Secret Naruto
46,Byakugan Battle: Hinata Grows Bold!,must-watch,Hinata vs Neji
47,A Failure Stands Tall!,must-watch,Discours Naruto
48,Gaara vs. Rock Lee: The Power of Youth Explodes!,must-watch,Combat légendaire
49,Lee's Hidden Strength: Forbidden Secret Jutsu!,must-watch,8 portes
50,The Fifth Gate: A Splendid Ninja is Born!,must-watch,Lee 8 portes
51,A Shadow in Darkness: Danger Approaches Sasuke,must-watch,Gaara terrifiant
52,Ebisu Returns: Naruto's Toughest Training Yet!,optional,Filler
