episode,title,type,note
1,Long Time No See: Jiraiya Returns!,must-watch,Jiraiya arrive
2,The Summoning Jutsu: Wisdom of the Toad Sage!,must-watch,Invocation
3,A Feeling of Yearning a Flower of Hope,optional,Filler
4,Live or Die: Risk it All to Win it All!,must-watch,Entraînement
5,He Flies! He Jumps! He Lurks! Chief Toad Appears!,must-watch,Gamabunta
6,Forecast: Death! Cloudy with Chance of Sun!,optional,Filler
7,The Final Rounds: Rush to the Battle Arena!,must-watch,Début finales
8,Byakugan vs. Shadow Clone,must-watch,Hinata vs Neji début
9,Ultimate Defense: Zero Blind Spot!,must-watch,Byakugan complet
10,A Failure's True Power,must-watch,Naruto soutient Hinata
11,Hit it or Quit it: The Final Rounds Get Complicated!,must-watch,Tirage au sort
12,Zero Motivation: The Guy with Cloud Envy!,skip,Filler - Arc Hokage Battle Royale
13,Dancing Leaf: Super Crimson Fang!,skip,Filler - Arc Hokage Battle Royale
14,Booming Strike: Tsunade's Choice!,skip,Filler - Arc Hokage Battle Royale
15,Assault of the Crazed Ninja!,skip,Filler - Arc Hokage Battle Royale
16,An Unrivaled Match: Hokage Battle Royale!,skip,Filler - Arc Hokage Battle Royale
17,An Unrivaled Match: Hokage Battle Royale Part 2!,skip,Filler - Arc Hokage Battle Royale
18,A Shirker's Call to Action: A Layabout No More!,skip,Filler - Arc Hokage Battle Royale
19,An Unrivaled Match: Hokage Battle Royale Part 3!,skip,Filler - Arc Hokage Battle Royale
20,A Mistake from the Past: A Face Revealed!,skip,Filler - Arc Hokage Battle Royale
21,Forbidden Secret Jutsu: Shiki Fujin!,skip,Filler - Arc Hokage Battle Royale
22,Astonishing Truth! Gaara's Identity Emerges!,skip,Filler - Arc Hokage Battle Royale
23,Sasuke's Decision: Pushed to the Edge!,skip,Filler - Arc Hokage Battle Royale
24,Assassin of the Moonlit Night,skip,Filler - Arc Hokage Battle Royale
25,Light vs. Dark: The Two Faces of Gaara,skip,Filler - Arc Hokage Battle Royale
26,Naruto's Ninja Handbook,skip,Filler - Arc Hokage Battle Royale
27,Beyond the Limit of Darkness and Light,must-watch,Retour canon important
28,The Third Hokage Sealed!,must-watch,Troisième Hokage scellé
29,Return of the Morning Mist,must-watch,Retour au canon
30,Eye to Eye: Sharingan vs. Sharingan!,must-watch,Kakashi vs Itachi
31,Jiraiya: Naruto's Potential Disaster!,must-watch,Jiraiya entraîne Naruto
32,Roar Chidori! Brother vs. Brother!,must-watch,Sasuke vs Itachi
33,Hate Among the Uchihas: The Last of the Clan!,must-watch,Histoire Uchiha
34,A New Training Begins: I Will Be Strong!,must-watch,Nouvel entraînement
35,Keep on Training: Pop Goes the Water Balloon!,must-watch,Rasengan training
36,Focal Point: The Mark of the Leaf,must-watch,Suite entraînement
37,An Impossible Choice: The Pain Within Tsunade's Heart,must-watch,Histoire Tsunade
38,Unforgivable! A Total Lack of Respect!,must-watch,Orochimaru vs Jiraiya
39,Inheritance! The Necklace of Death!,must-watch,Collier de Tsunade
40,A Dubious Offer! Tsunade's Choice!,must-watch,Décision Tsunade
41,Breakdown! The Deal is Off!,must-watch,Combat début
42,Attack! Fury of the Rasengan!,must-watch,Rasengan complet
43,The Fifth Hokage! A Life on the Line!,must-watch,Tsunade devient Hokage
44,Deadlock! Sannin Showdown!,must-watch,Combat 3 Sannin
45,Kidnapped! Naruto's Hot Spring Adventure!,skip,Filler
46,Tsunade's Warning: Ninja No More!,skip,Filler
47,The Will of Fire Still Burns!,skip,Filler
48,Sensei and Student: The Bond of the Shinobi,must-watch,Départ Sasuke
49,Gotta See! Gotta Know! Kakashi-Sensei's True Face!,optional,Filler amusant - visage Kakashi
50,Mission: Help an Old Friend in the Land of Tea,skip,Filler arc Tea
51,The Race is On! Trouble on the High Seas!,skip,Filler arc Tea
52,Run Idate Run! Nagi Island Awaits!,skip,Filler arc Tea
